Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,Unnamed_9,Unnamed_10,Date
SANIMA,310.9,-1.61,322.30,309.30,322.30,"32,942",,,,,2024-12-15 01:55:11
SAPDBL,1080.1,-2.07,"1,119.70","1,069.10","1,103.00","81,969",,,,,2024-12-15 01:55:11
SARBTM,780.0,2.78,799.90,750.00,774.00,"277,635",,,,,2024-12-15 01:55:11
SBCF,9.57,0.74,9.57,9.36,9.36,"19,035",,,,,2024-12-15 01:55:11
SBI,458.0,-0.43,469.20,455.40,469.20,"53,037",,,,,2024-12-15 01:55:11
SBID83,1132.6,2,"1,132.60","1,132.60","1,132.60",10,,,,,2024-12-15 01:55:11
SBID89,1065.0,0,"1,065.00","1,065.00","1,065.00",50,,,,,2024-12-15 01:55:11
SBL,310.1,-1.18,320.00,310.00,320.00,"34,515",,,,,2024-12-15 01:55:11
SBLD2082,1123.6,2,"1,123.60","1,123.50","1,123.50",45,,,,,2024-12-15 01:55:11
SCB,674.0,-2.6,705.80,672.00,705.80,"40,840",,,,,2024-12-15 01:55:11
SCBD,1098.0,-1.96,"1,098.00","1,098.00","1,098.00",25,,,,,2024-12-15 01:55:11
SEF,9.88,1.23,9.88,9.68,9.70,"35,200",,,,,2024-12-15 01:55:11
SFCL,719.0,-2.71,748.00,717.20,742.00,"37,599",,,,,2024-12-15 01:55:11
SFEF,9.41,0,9.41,9.41,9.41,600,,,,,2024-12-15 01:55:11
SFMF,10.47,-0.29,10.47,10.32,10.32,"11,000",,,,,2024-12-15 01:55:11
SGHC,481.8,1.01,492.00,474.00,482.00,"54,843",,,,,2024-12-15 01:55:11
SGIC,687.0,-1.31,703.00,687.00,698.00,"33,787",,,,,2024-12-15 01:55:11
SHEL,251.0,-2.68,259.00,250.20,257.90,"114,181",,,,,2024-12-15 01:55:11
SHINE,458.0,-1.51,469.80,458.00,462.00,"28,886",,,,,2024-12-15 01:55:11
SHIVM,573.0,0.54,591.00,570.00,574.90,"179,136",,,,,2024-12-15 01:55:11
